"","date","total_stake","unbonded_amount"
"1",2020-06-18,214241072.253394,6690451.4
"2",2020-06-19,276195893.155771,1550
"3",2020-06-20,325551621.88134,0
"4",2020-06-21,328165840.427228,49257.8385687092
"5",2020-06-22,348099138.319936,274420
"6",2020-06-23,368420093.783499,418027.4
"7",2020-06-24,386756286.435147,25100
"8",2020-06-25,389616275.208465,8e+05
"9",2020-06-26,394071923.132393,160633.965373698
"10",2020-06-27,406341266.142133,938731.677997218
"11",2020-06-28,408731487.215407,390615.409626074
"12",2020-06-29,421615788.635762,1146.6222941321
"13",2020-06-30,422531427.874374,0
"14",2020-07-01,424567001.726108,4531681.41940265
"15",2020-07-02,441524528.868835,2481579.19516627
"16",2020-07-03,448689026.544191,24278.5704050205
"17",2020-07-04,451286982.345915,24.5868085483
"18",2020-07-05,452076128.880887,20685.4
"19",2020-07-06,452860404.172184,181383.546811689
"20",2020-07-07,453512555.023596,4000
"21",2020-07-08,456211292.812646,27522.7544524165
"22",2020-07-09,458161208.664922,1204928.01692023
"23",2020-07-10,457494076.40018,35848
"24",2020-07-11,457356988.514707,12700
"25",2020-07-12,457940581.747374,0
"26",2020-07-13,465251502.768171,30001.999
"27",2020-07-14,466042733.722127,125783.1
"28",2020-07-15,466924391.820743,216184
"29",2020-07-16,467988423.317107,1032612.11115298
"30",2020-07-17,474781284.812537,1316546.4843
"31",2020-07-18,475487592.281698,896033.654696376
"32",2020-07-19,476619339.128165,975499
"33",2020-07-20,473100984.669393,4398698.56978077
"34",2020-07-21,468503436.449132,21294781.6552301
"35",2020-07-22,498422697.503174,6867555.16013034
"36",2020-07-23,491127629.508969,888530.467209561
"37",2020-07-24,493856578.745501,737640.009853364
"38",2020-07-25,494247631.815377,4023823.76300631
"39",2020-07-26,494232112.969326,1540451.28801304
"40",2020-07-27,499541206.019399,2557556.96740198
"41",2020-07-28,502321294.221527,282046.536708022
"42",2020-07-29,504346071.136358,814676.22396148
"43",2020-07-30,508971585.882507,193296.541260685
"44",2020-07-31,508200027.739157,230005.662937454
"45",2020-08-01,508108058.204517,40964.8870480025
"46",2020-08-02,508065427.701441,429091.146258972
"47",2020-08-03,500919427.508106,6957954.04559805
"48",2020-08-04,501276840.060971,1402616.82349601
"49",2020-08-05,500270394.337133,4065765.52534128
"50",2020-08-06,496259947.432233,1405091.62223167
"51",2020-08-07,495259158.088005,890805.913473968
"52",2020-08-08,495022533.460746,548200.088934113
"53",2020-08-09,494939203.123354,3728453.0331578
"54",2020-08-10,488124792.081497,1504631.79382562
"55",2020-08-11,503662071.187908,651484.431129943
"56",2020-08-12,506567864.867819,10056086.2635702
"57",2020-08-13,497896387.260879,859039.635812431
"58",2020-08-14,499472823.322004,49525.2298238071
"59",2020-08-15,499962708.96389,174558.912451735
"60",2020-08-16,499772643.818186,2634299.19854951
